customer_name,account_number,phone_number,transaction_date,transaction_amount,balance
Ravi Kumar,123456789012,9876543210,2024-01-10,5000,75000
Ravi Kumar,123456789012,9876543210,2024-01-15,-2000,73000
Anita Sharma,234567890123,9123456780,2024-02-05,8000,68000
Anita Sharma,234567890123,9123456780,2024-02-10,-3000,65000
Suresh Reddy,345678901234,9988776655,2024-03-01,12000,90000
Suresh Reddy,345678901234,9988776655,2024-03-08,-5000,85000
Priya Verma,456789012345,9012345678,2024-01-12,6000,56000
Priya Verma,456789012345,9012345678,2024-01-20,-2500,53500
Amit Singh,567890123456,9098765432,2024-02-14,10000,82000
Amit Singh,567890123456,9098765432,2024-02-22,-4000,78000
Neha Gupta,678901234567,9345678901,2024-03-05,7000,61000
Neha Gupta,678901234567,9345678901,2024-03-12,-3500,57500
Rahul Mehta,789012345678,9567890123,2024-01-18,9000,73000
Rahul Mehta,789012345678,9567890123,2024-01-25,-3000,70000
Kiran Rao,890123456789,9876501234,2024-02-08,11000,88000
Kiran Rao,890123456789,9876501234,2024-02-16,-6000,82000
Pooja Nair,901234567890,9988001122,2024-03-03,7500,64000
Pooja Nair,901234567890,9988001122,2024-03-11,-2000,62000
Vikram Patel,112233445566,9090909090,2024-01-07,8500,70500
Vikram Patel,112233445566,9090909090,2024-01-14,-4500,66000
Arjun Malhotra,223344556677,9191919191,2024-02-02,9500,79000
Arjun Malhotra,223344556677,9191919191,2024-02-09,-3500,75500
Sneha Iyer,334455667788,9292929292,2024-03-06,7200,58500
Sneha Iyer,334455667788,9292929292,2024-03-13,-2200,56300
Manoj Das,445566778899,9393939393,2024-01-22,10500,86500
Manoj Das,445566778899,9393939393,2024-01-30,-5500,81000
Divya Choudhary,556677889900,9494949494,2024-02-17,6800,59800
Divya Choudhary,556677889900,9494949494,2024-02-25,-1800,58000
Rohit Jain,667788990011,9595959595,2024-03-04,11500,90500
Rohit Jain,667788990011,9595959595,2024-03-10,-6500,84000
Nisha Kapoor,778899001122,9696969696,2024-01-09,7800,64200
Nisha Kapoor,778899001122,9696969696,2024-01-16,-2800,61400
Sunil Yadav,889900112233,9797979797,2024-02-11,9900,76000
Sunil Yadav,889900112233,9797979797,2024-02-19,-4900,71100
Meena Joshi,990011223344,9898989898,2024-03-02,8200,66800
Meena Joshi,990011223344,9898989898,2024-03-09,-3200,63600
